Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,00,2015-00,33.9,34.2,33.57,33.73,63100.0,26.3,0.0,26.3,26.3
2015-01-05,2015,1,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,01,2015-01,33.8,33.8,32.75,32.87,109000.0,25.63,-0.025496532842268715,25.965,25.965
2015-01-06,2015,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,01,2015-01,32.95,33.03,32.3,32.42,51400.0,25.28,-0.013690078973754183,25.736666666666668,25.736666666666668
2015-01-07,2015,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,01,2015-01,32.13,32.4,32.0,32.3,91300.0,25.19,-0.003701570900271456,25.6,25.6
2015-01-08,2015,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,01,2015-01,32.6,33.3,32.51,32.88,93100.0,25.64,0.0179567402395322,25.607999999999997,25.607999999999997
2015-01-09,2015,1,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,01,2015-01,33.11,33.17,32.5,32.67,136900.0,25.47,-0.006387012484396104,25.584999999999997,25.584999999999997
2015-01-12,2015,1,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,02,2015-02,33.42,33.71,33.24,33.43,108700.0,26.07,0.023263094297782727,25.654285714285717,25.654285714285717
2015-01-13,2015,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,02,2015-02,33.6,33.94,33.45,33.72,81200.0,26.29,0.008674626609237235,25.73375,25.73375
2015-01-14,2015,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,02,2015-02,33.72,34.5,33.72,34.0,252400.0,26.51,0.008303754705932587,25.82,25.82
2015-01-15,2015,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023DDB9550D0>>,02,2015-02,34.06,34.55,33.81,34.05,189300.0,26.55,0.001470517029298124,25.893,25.893
