Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,00,2014-00,183.98,184.07,182.48,182.92,119636900.0,157.02,0.0,157.02,157.02
2014-01-03,2014,1,3,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,00,2014-00,183.23,183.6,182.63,182.89,81390600.0,156.99,-0.0001636507091352657,157.005,157.005
2014-01-06,2014,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,01,2014-01,183.49,183.56,182.08,182.36,108028200.0,156.54,-0.002898180254215288,156.85,156.85
2014-01-07,2014,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,01,2014-01,183.09,183.79,182.95,183.48,86144200.0,157.5,0.006141904627941841,157.0125,157.0125
2014-01-08,2014,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,01,2014-01,183.45,183.83,182.89,183.52,96582300.0,157.53,0.00021818079650515187,157.116,157.116
2014-01-09,2014,1,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,01,2014-01,184.11,184.13,182.8,183.64,90683400.0,157.63,0.0006534309921757409,157.20166666666668,157.20166666666668
2014-01-10,2014,1,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,01,2014-01,183.95,184.22,183.01,184.14,102026400.0,158.06,0.0027227549540869145,157.3242857142857,157.3242857142857
2014-01-13,2014,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,02,2014-02,183.67,184.18,181.34,181.69,149892000.0,155.96,-0.01330477029235222,157.15375,157.15375
2014-01-14,2014,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,02,2014-02,182.29,183.77,181.95,183.67,105016100.0,157.66,0.010897347906309474,157.21,157.21
2014-01-15,2014,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,02,2014-02,184.1,184.94,183.71,184.66,98525800.0,158.51,0.005390228273176811,157.34,157.34
2014-01-16,2014,1,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,02,2014-02,184.28,184.66,183.83,184.42,72290600.0,158.3,-0.0012996608136525145,157.42727272727274,157.42727272727274
2014-01-17,2014,1,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,02,2014-02,184.1,184.45,183.32,183.64,107848700.0,157.63,-0.004229659493181104,157.44416666666666,157.44416666666666
2014-01-21,2014,1,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,03,2014-03,184.7,184.77,183.05,184.18,88621200.0,158.1,0.0029405521187162442,157.4946153846154,157.4946153846154
2014-01-22,2014,1,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,03,2014-03,184.49,184.57,183.91,184.3,61270900.0,158.2,0.0006518618550883648,157.54500000000002,157.54500000000002
2014-01-23,2014,1,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,03,2014-03,183.37,183.4,181.82,182.79,132496900.0,156.9,-0.008193216623126554,157.5364285714286,157.502
2014-01-24,2014,1,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,03,2014-03,181.6,181.66,178.83,178.89,208677100.0,153.56,-0.021336492753648573,157.29142857142855,157.255625
2014-01-27,2014,1,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,04,2014-04,179.06,179.52,177.12,178.01,180843100.0,152.8,-0.004918866183508008,157.02428571428572,156.9935294117647
2014-01-28,2014,1,28,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,04,2014-04,178.14,179.3,178.12,179.07,110463200.0,153.71,0.005954964835719334,156.75357142857143,156.8111111111111
2014-01-29,2014,1,29,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,04,2014-04,177.58,178.55,176.88,177.35,216597300.0,152.23,-0.009605276350233227,156.375,156.57
2014-01-30,2014,1,30,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,04,2014-04,178.83,179.81,178.26,179.23,118938100.0,153.85,0.01060041876861173,156.105,156.434
2014-01-31,2014,1,31,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,04,2014-04,177.01,179.29,176.92,178.18,194677900.0,152.95,-0.005858392687066005,155.74,156.26809523809524
2014-02-03,2014,2,3,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,05,2014-05,177.97,178.37,173.83,174.17,254837100.0,149.51,-0.02250537508576045,155.2792857142857,155.9609090909091
2014-02-04,2014,2,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,05,2014-05,174.95,175.84,174.11,175.39,165012400.0,150.55,0.007005017464319474,154.77142857142854,155.72565217391303
2014-02-05,2014,2,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,05,2014-05,174.78,175.56,173.71,175.17,164230500.0,150.36,-0.0012546353297362423,154.18928571428572,155.50208333333333
2014-02-06,2014,2,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,05,2014-05,175.58,177.48,175.22,177.48,132877600.0,152.35,0.013187124761511182,153.7642857142857,155.376
2014-02-07,2014,2,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,05,2014-05,178.31,179.87,177.73,179.68,170787200.0,154.23,0.012395807688601934,153.52142857142857,155.3319230769231
2014-02-10,2014,2,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,06,2014-06,179.7,180.07,179.21,180.01,92218800.0,154.52,0.0018363774077101436,153.26571428571427,155.30185185185184
2014-02-11,2014,2,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,06,2014-06,180.16,182.44,180.04,181.98,117814100.0,156.21,0.010944248687553282,153.12357142857144,155.3342857142857
2014-02-12,2014,2,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,06,2014-06,182.25,182.83,181.71,182.07,94717700.0,156.29,0.0004943670387589361,153.07999999999998,155.36724137931034
2014-02-13,2014,2,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,06,2014-06,180.84,183.2,180.83,183.01,100542200.0,157.09,0.005162757847432919,153.33214285714286,155.42466666666667
2014-02-14,2014,2,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,06,2014-06,182.84,184.36,182.67,184.02,96498400.0,157.96,0.005518649189778735,153.70071428571427,155.50645161290322
2014-02-18,2014,2,18,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,07,2014-07,184.18,184.49,183.65,184.24,80460900.0,158.15,0.0011957006938405623,154.01785714285714,155.5890625
2014-02-19,2014,2,19,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,07,2014-07,183.76,184.95,182.87,183.02,126524300.0,157.1,-0.0066217587455292826,154.3657142857143,155.63484848484848
2014-02-20,2014,2,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,07,2014-07,183.27,184.52,182.6,184.1,104998100.0,158.03,0.005901123522169538,154.66428571428574,155.70529411764704
2014-02-21,2014,2,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,07,2014-07,184.45,184.89,183.8,183.89,118116400.0,157.85,-0.0011407226295365724,155.01428571428573,155.76657142857144
2014-02-24,2014,2,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,08,2014-08,184.28,186.15,184.2,184.91,114063900.0,158.72,0.005546759384613242,155.67214285714286,155.84861111111113
2014-02-25,2014,2,25,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,08,2014-08,185.06,185.59,184.23,184.84,117085000.0,158.66,-0.00037838298760861644,156.25142857142856,155.9245945945946
2014-02-26,2014,2,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,08,2014-08,185.11,185.6,184.33,184.85,98677200.0,158.67,5.404769641881302e-05,156.845,155.99684210526317
2014-02-27,2014,2,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,08,2014-08,184.58,185.87,184.37,185.82,93880800.0,159.51,0.005247728460584522,157.35642857142855,156.08692307692309
2014-02-28,2014,2,28,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,08,2014-08,185.79,187.15,185.05,186.29,150842000.0,159.91,0.0025287575137360463,157.76214285714286,156.1825
2014-03-03,2014,3,3,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,09,2014-09,184.65,185.45,183.75,184.98,167748500.0,158.78,-0.007031725543329204,158.06642857142856,156.2458536585366
2014-03-04,2014,3,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,09,2014-09,186.79,187.98,186.75,187.58,167545900.0,161.02,0.014055508606588107,158.41,156.3595238095238
2014-03-05,2014,3,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,09,2014-09,187.74,188.07,187.45,187.75,88376900.0,161.16,0.0009062426882475716,158.75785714285712,156.4711627906977
2014-03-06,2014,3,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,09,2014-09,188.21,188.61,187.78,188.18,82516500.0,161.53,0.0022903024108107406,159.075,156.58613636363637
2014-03-07,2014,3,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,09,2014-09,188.96,188.96,187.43,188.26,114513500.0,161.6,0.0004250851634508557,159.335,156.69755555555557
2014-03-10,2014,3,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,10,2014-10,187.97,188.23,187.08,188.16,74939200.0,161.51,-0.0005312251017740577,159.57500000000002,156.80217391304348
2014-03-11,2014,3,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,10,2014-10,188.44,188.71,186.8,187.23,99009100.0,160.72,-0.0049424713566043055,159.83357142857145,156.88553191489362
2014-03-12,2014,3,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,10,2014-10,186.32,187.35,185.9,187.28,104824400.0,160.76,0.0002671686728685785,160.02857142857144,156.96625
2014-03-13,2014,3,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,10,2014-10,187.84,187.99,184.66,185.18,155014300.0,158.96,-0.011213341273482835,160.10785714285717,157.0069387755102
2014-03-14,2014,3,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,10,2014-10,184.85,185.8,184.44,184.66,153919600.0,158.51,-0.0028081043275121065,160.09285714285713,157.037
2014-03-17,2014,3,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,11,2014-11,185.59,186.77,185.51,186.33,98359500.0,159.94,0.009043717832769138,160.18428571428572,157.09539999999998
2014-03-18,2014,3,18,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,11,2014-11,186.71,187.91,186.51,187.66,101804600.0,161.08,0.007137731369517564,160.35642857142855,157.1772
2014-03-19,2014,3,19,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,11,2014-11,187.68,187.94,185.47,186.66,176267300.0,160.23,-0.005328573079495191,160.40785714285715,157.251
2014-03-20,2014,3,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001D15CD65B20>>,11,2014-11,186.25,187.89,185.92,187.75,117241000.0,161.16,0.0058393767141271535,160.49714285714282,157.3242
